StationId	DataType	FileName	Id	Lat	Long	Scenario	Constituent	SDate	EDate	YrCount	StaNam
USC00010008	WdmFinal	USC00010008.txt	1	31.5702	-85.2482	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ABBEVILLE
USC00010063	WdmFinal	USC00010063.txt	1	34.2553	-87.1814	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ADDISON
USC00010140	WdmFinal	USC00010140.txt	1	32.2322	-87.4104	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ALBERTA
USC00010252	WdmFinal	USC00010252.txt	1	31.3071	-86.5226	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ANDALUSIA 3 W
USC00010369	WdmFinal	USC00010369.txt	1	33.2941	-85.7788	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ASHLAND 3 ENE
USC00010390	WdmFinal	USC00010390.txt	1	34.7752	-86.9508	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ATHENS
USC00010402	WdmFinal	USC00010402.txt	1	31.182	-87.439	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ATMORE
USC00010425	WdmFinal	USC00010425.txt	1	32.5992	-85.4653	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	AUBURN NO.2
USC00010748	WdmFinal	USC00010748.txt	1	33.6971	-87.6488	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	BERRY 3 NW
USC00010957	WdmFinal	USC00010957.txt	1	34.2008	-86.1633	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	BOAZ
USC00011099	WdmFinal	USC00011099.txt	1	34.9786	-85.8008	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	BRIDGEPORT 5 NW
USC00012124	WdmFinal	USC00012124.txt	1	32.8622	-85.7358	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	DADEVILLE 2
USC00012172	WdmFinal	USC00012172.txt	1	30.2505	-88.0775	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	DAUPHIN ISLAND #2
USC00012377	WdmFinal	USC00012377.txt	1	31.2833	-85.4	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	DOTHAN 4 NW
USC00012675	WdmFinal	USC00012675.txt	1	31.2975	-85.8996	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ENTERPRISE 4 W
USC00013043	WdmFinal	USC00013043.txt	1	34.4406	-85.7236	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	FORT PAYNE
USC00013519	WdmFinal	USC00013519.txt	1	31.7901	-86.6087	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	GREENVILLE
USC00013620	WdmFinal	USC00013620.txt	1	34.2314	-87.6352	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	HALEYVILLE
USC00013645	WdmFinal	USC00013645.txt	1	34.0966	-87.9913	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	HAMILTON 3 S
USC00014193	WdmFinal	USC00014193.txt	1	31.5253	-87.9277	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	JACKSON
USC00014209	WdmFinal	USC00014209.txt	1	33.8259	-85.7812	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	JACKSONVILLE
USC00015397	WdmFinal	USC00015397.txt	1	32.0347	-85.474	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	MIDWAY
USC00015553	WdmFinal	USC00015553.txt	1	32.26	-86.218	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	MONTGOMERY 6SW
USC00018178	WdmFinal	USC00018178.txt	1	31.9172	-87.7347	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	THOMASVILLE
USC00018209	WdmFinal	USC00018209.txt	1	32.9205	-86.6708	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	THORSBY EXP STATION
USC00018385	WdmFinal	USC00018385.txt	1	33.2097	-87.5936	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	TUSCALOOSA OLIVER DAM
USC00018517	WdmFinal	USC00018517.txt	1	33.7392	-88.1275	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	VERNON
USC00018670	WdmFinal	USC00018670.txt	1	33.7924	-86.8258	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	WARRIOR
USC00018673	WdmFinal	USC00018673.txt	1	32.7747	-87.8306	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	WARRIOR LOCK AND DAM
USC00020080	WdmFinal	USC00020080.txt	1	32.3698	-112.8599	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	AJO
USC00020487	WdmFinal	USC00020487.txt	1	35.1989	-112.4886	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ASH FORK 3
USC00020808	WdmFinal	USC00020808.txt	1	33.4783	-109.7516	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	BLACK RIVER PUMPS
USC00021574	WdmFinal	USC00021574.txt	1	34.54	-110.9152	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	CHEVELON RANGER STATION
USC00021749	WdmFinal	USC00021749.txt	1	34.05	-110.45	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	CIBECUE
USC00021870	WdmFinal	USC00021870.txt	1	32.0588	-109.8908	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	COCHISE 4 SSE
USC00022329	WdmFinal	USC00022329.txt	1	34.2097	-112.3453	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	CROWN KING
USC00022754	WdmFinal	USC00022754.txt	1	32.748	-109.1213	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	DUNCAN
USC00023009	WdmFinal	USC00023009.txt	1	35.1611	-111.7311	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	FLAGSTAFF 4 SW
USC00024586	WdmFinal	USC00024586.txt	1	35.8109	-110.1932	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	KEAMS CANYON
USC00025344	WdmFinal	USC00025344.txt	1	34.3709	-112.1827	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	MAYER NO. 2
USC00025635	WdmFinal	USC00025635.txt	1	34.6105	-111.838	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	MONTEZUMA CASTLE NM
USC00025924	WdmFinal	USC00025924.txt	1	31.4554	-110.968	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	NOGALES 6 N
USC00026119	WdmFinal	USC00026119.txt	1	32.6025	-110.7344	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ORACLE 2 SE
USC00026468	WdmFinal	USC00026468.txt	1	34.7994	-109.885	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	PETRIFIED FOREST NP
USC00027708	WdmFinal	USC00027708.txt	1	34.8955	-111.7644	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	SEDONA
USC00027876	WdmFinal	USC00027876.txt	1	33.7986	-110.9714	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	SIERRA ANCHA
USC00029158	WdmFinal	USC00029158.txt	1	34.9281	-112.8097	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	WALNUT CREEK
USC00029271	WdmFinal	USC00029271.txt	1	33.8215	-109.984	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	WHITERIVER 1 SW
USC00030064	WdmFinal	USC00030064.txt	1	35.9307	-91.055	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ALICIA 2NNE
USC00030130	WdmFinal	USC00030130.txt	1	34.7961	-92.8417	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ALUM FORK
USC00030178	WdmFinal	USC00030178.txt	1	34.0275	-93.4332	OBSERVED	PMET	1990/01/01	2020/12/31	30.0	ANTOINE 1 SW
